Id,Test,DAM,SIRE,Id.2,animal,Mass,Temp,Time_center,Time_edge,Time_periphery,Time_out,UZ,Dist_OF,Dist_AP,Velo_OF,Velo_AP,Peak_fq,Pulses_p_chip,Time_calling,Chirp_dur,Chirp_rate,Pulse_rate,Call_ampl
AD_CS2_151_143_3,AP,151,143,3,203,NA,26,NA,NA,NA,NA,NA,NA,158.407,NA,0.767327,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_3,AP,151,143,3,203,908,26,NA,NA,NA,NA,NA,NA,635.971,NA,3.02325,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_3,C,151,143,3,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_3,OF,151,143,3,203,878,25,0.16,193,0,0.16,26,590.42,NA,2.90047,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_3,OF,151,143,3,203,NA,27,8.92,180.16,3.68,12.6,33,667.711,NA,3.36277,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_4,AP,151,143,4,204,368,26,NA,NA,NA,NA,NA,NA,459.66,NA,2.31497,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_4,AP,151,143,4,204,NA,27,NA,NA,NA,NA,NA,NA,752.47,NA,3.63442,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_4,C,151,143,4,204,368,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4451,1.666666667,0.33942,0.05657,17.67721407,25.69363022,0.499348333
AD_CS2_151_143_4,OF,151,143,4,204,NA,27,0,193.76,0,0,25,206.271,NA,1.00307,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_4,OF,151,143,4,204,372,27,9.76,167.56,31.8,41.56,33,594.358,NA,2.97298,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_5,AP,151,143,5,205,409,25,NA,NA,NA,NA,NA,NA,102.152,NA,0.51158,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_5,AP,151,143,5,205,NA,26,NA,NA,NA,NA,NA,NA,403.36,NA,1.95464,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_6,C,151,143,5,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_5,OF,151,143,5,205,NA,26,1.36,195.2,21.76,23.12,27,348.273,NA,1.71462,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_5,OF,151,143,5,205,402,26,10.88,180,16.28,27.16,29,358.649,NA,1.77549,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_6,AP,151,143,6,206,NA,27,NA,NA,NA,NA,NA,NA,441.128,NA,2.17648,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_6,AP,151,143,6,206,622,26,NA,NA,NA,NA,NA,NA,547.796,NA,2.7297,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_7,C,151,143,6,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_6,OF,151,143,6,206,571,27,0,193.88,16.28,16.28,19,221.36,NA,1.12663,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_6,OF,151,143,6,206,NA,27,0.12,187.32,21.88,22,29,594.965,NA,2.88314,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_9,AP,151,143,9,209,NA,26,NA,NA,NA,NA,NA,NA,301.74,NA,1.46504,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_9,AP,151,143,9,209,659,26,NA,NA,NA,NA,NA,NA,425.534,NA,2.12046,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_9,C,151,143,9,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_9,OF,151,143,9,209,624,25,3.32,192.16,0,3.32,25,150.964,NA,0.748236,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_9,OF,151,143,9,209,NA,26,7.32,182.28,6.96,14.28,31,593.569,NA,2.8078,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_11,AP,151,143,11,211,NA,27,NA,NA,NA,NA,NA,NA,276.299,NA,1.36323,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_11,AP,151,143,11,211,739,26,NA,NA,NA,NA,NA,NA,554.666,NA,2.81214,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_11,C,151,143,11,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_11,OF,151,143,11,211,NA,26,0,202.36,17.68,17.68,20,327.853,NA,1.60586,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_11,OF,151,143,11,211,698,26,0,189.88,20.08,20.08,20,375.69,NA,1.92346,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_12,AP,151,143,12,212,941,25,NA,NA,NA,NA,NA,NA,448.255,NA,2.20685,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_12,AP,151,143,12,212,NA,27,NA,NA,NA,NA,NA,NA,501.174,NA,2.42864,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_12,C,151,143,12,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_12,OF,151,143,12,212,NA,27,0.56,199.6,11.48,12.04,31,916.413,NA,4.42626,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_12,OF,151,143,12,212,910,26,4.12,168.12,12.6,16.72,35,691.445,NA,3.50703,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_13,AP,151,143,13,213,NA,27,NA,NA,NA,NA,NA,NA,475.353,NA,2.31653,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_13,AP,151,143,13,213,389,26,NA,NA,NA,NA,NA,NA,598.199,NA,2.84748,NA,NA,NA,NA,NA,NA,NA
