,,Id,Time,Mass,Rep,Arena,Temp,Date,Observer,Status,Distance moved Center-point Total cm,Velocity Center-point Mean cm/s
Trial    13,Arena 1,AD_CS2_134_132_23,9:52,,1,1,27,8/4/2016,JD,,958.45,4.67081
Trial    13,Arena 2,AD_CS2_102_114_81,9:52,,1,2,27,8/4/2016,JD,,386.215,1.88655
Trial    13,Arena 3,AD_CS2_151_143_13,9:52,,1,3,27,8/4/2016,JD,,475.353,2.31653
Trial    13,Arena 4,AD_CS2_151_143_17,9:52,,1,4,27,8/4/2016,JD,,395.479,1.92728
Trial    14,Arena 1,AD_CS2_151_143_4,10:07,,1,1,27,8/4/2016,JD,,752.47,3.63442
Trial    14,Arena 2,AD_CS2_147_143_141,10:07,,1,2,27,8/4/2016,JD,,693.569,3.34863
Trial    14,Arena 3,AD_CS2_134_132_103,10:07,,1,3,27,8/4/2016,JD,,350.061,1.69079
Trial    14,Arena 4,AD_CS2_151_143_22,10:07,,1,4,27,8/4/2016,JD,D,NA,NA
Trial    15,Arena 1,AD_CS2_147_143_137,10:24,,1,1,27,8/4/2016,JD,D,NA,NA
Trial    15,Arena 2,AD_CS2_134_132_151,10:24,,1,2,27,8/4/2016,JD,,292.863,1.43195
Trial    15,Arena 3,AD_CS2_147_143_130,10:24,,1,3,27,8/4/2016,JD,,246.699,1.20083
Trial    15,Arena 4,AD_CS2_134_132_36,10:24,,1,4,27,8/4/2016,JD,,253.549,1.23562
Trial    16,Arena 1,AD_CS2_151_143_11,10:41,,1,1,27,8/4/2016,JD,,276.299,1.36323
Trial    16,Arena 2,AD_CS2_147_143_114,10:41,,1,2,27,8/4/2016,JD,,359.858,1.77585
Trial    16,Arena 3,AD_CS2_147_143_128,10:41,,1,3,27,8/4/2016,JD,,265.689,1.3065
Trial    16,Arena 4,AD_CS2_134_132_154,10:41,,1,4,27,8/4/2016,JD,,372.54,1.84243
Trial    17,Arena 1,AD_CS2_147_143_140,10:16,,1,1,26,8/5/2016,JD,,383.468,1.87938
Trial    17,Arena 2,AD_CS2_134_132_104,10:16,,1,2,26,8/5/2016,JD,,569.208,2.78205
