,,Id,Time,Mass,Rep,Arena,Temp,Date,Observer,Status,Distance moved Center-point Total cm,In zone Edge / Center-point Cumulative Duration s,In zone Peripheral / Center-point Cumulative Duration s,In zone Center / Center-point Cumulative Duration s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UZ,In zone 2 1 / Center-point Frequency,In zone 2 2 / Center-point Frequency,In zone 2 3 / Center-point Frequency,In zone 2 4 / Center-point Frequency,In zone 2 5 / Center-point Frequency,In zone 2 6 / Center-point Frequency,In zone 2 7 / Center-point Frequency,In zone 2 8 / Center-point Frequency,In zone 2 9 / Center-point Frequency,In zone 2 10 / Center-point Frequency,In zone 2 11 / Center-point Frequency,In zone 2 12 / Center-point Frequency,In zone 2 13 / Center-point Frequency,In zone 2 14 / Center-point Frequency,In zone 2 15 / Center-point Frequency,In zone 2 16 / Center-point Frequency,In zone 2 17 / Center-point Frequency,In zone 2 18 / Center-point Frequency,In zone 2 19 / Center-point Frequency,In zone 2 20 / Center-point Frequency,In zone 2 21 / Center-point Frequency,In zone 2 22 / Center-point Frequency,In zone 2 23 / Center-point Frequency,In zone 2 24 / Center-point Frequency,In zone 2 25 / Center-point Frequency,In zone 2 26 / Center-point Frequency,In zone 2 27 / Center-point Frequency,In zone 2 28 / Center-point Frequency,In zone 2 29 / Center-point Frequency,In zone 2 30 / Center-point Frequency,In zone 2 31 / Center-point Frequency,In zone 2 32 / Center-point Frequency,In zone 2 33 / Center-point Frequency,In zone 2 34 / Center-point Frequency,In zone 2 35 / Center-point Frequency,In zone 2 36 / Center-point Frequency,Velocity Center-point Mean cm/s
Trial     1,Arena 1,AD_CS2_147_143_38,10:42,,1,1,27,7/26/2016,JD,,169.968,207.6,3.32,-,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,20,2,2,2,2,2,2,2,0,0,0,0,2,2,0,0,0,0,2,1,0,0,0,0,2,0,0,1,0,0,2,1,1,1,1,1,2,0.79887
Trial     1,Arena 2,AD_CS2_134_132_147,10:42,,1,2,27,7/26/2016,JD,,622.505,199.04,9.12,0.24,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,28,5,6,6,7,7,6,5,1,1,0,1,7,4,0,0,0,2,6,4,0,0,1,2,5,6,0,0,1,3,6,7,5,5,5,7,6,2.92586
Trial     1,Arena 3,AD_CS2_134_132_102,10:42,,1,3,27,7/26/2016,JD,,283.423,210.28,0.76,-,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,21,2,2,2,2,2,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,3,2,0,0,0,1,4,2,2,2,3,5,5,1.32738
Trial     1,Arena 4,AD_CS2_102_114_95,10:42,,1,4,27,7/26/2016,JD,,242.794,206.48,-,-,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,20,2,1,1,1,1,2,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,3,3,3,3,3,3,3,1.14117
Trial     2,Arena 1,AD_CS2_102_114_91,10:58,,1,1,27,7/26/2016,JD,,231.055,204.76,-,-,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,20,2,2,2,2,2,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,3,0,0,0,0,2,4,2,2,2,2,2,1.1147
Trial     2,Arena 2,AD_CS2_151_143_12,10:58,,1,2,27,7/26/2016,JD,,916.413,199.6,4.24,0.56,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,4,5,6,5,6,8,5,1,1,0,0,8,5,1,1,0,0,9,6,1,0,1,1,11,7,1,1,1,1,11,9,11,12,13,12,11,4.42626
Trial     2,Arena 3,AD_CS2_102_114_57,10:58,,1,3,27,7/26/2016,JD,,297.864,197.76,6.04,-,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,26,3,3,3,3,3,2,3,0,0,0,1,2,3,0,0,0,1,2,3,0,0,0,1,2,3,1,0,2,2,3,4,4,3,2,1,2,1.43701
Trial     2,Arena 4,AD_CS2_151_143_19,10:58,,1,4,27,7/26/2016,JD,,196.758,42.2,0.16,-,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,21,2,2,2,2,2,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,1,0,0,0,2,1,2,1,2,3,3,4.4677
Trial     3,Arena 1,AD_CS2_102_114_83,11:14,,1,1,27,7/26/2016,JD,,333.945,197.04,1.76,-,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,23,4,5,5,5,5,5,4,1,0,0,0,4,4,1,0,0,0,2,2,0,0,0,0,2,1,0,0,0,1,2,2,2,2,2,2,1,1.62583
Trial     3,Arena 2,AD_CS2_151_143_18,11:14,,1,2,27,7/26/2016,JD,,158.818,201.32,4.12,-,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,14,2,3,3,3,3,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,1,3,0,0,0,0,1,2,0,0,0,0,1,1,0.773211
